time,deltap,dp,s_time,s_deltap,s_dp
26.299,553.12,0.521281241,0.000729815,5.5562,0.040519357
26.646,553.53,0.52190807,0.000729815,5.5603,0.042316556
27.146,554.16,0.525732699,0.000729815,5.5666,0.041607568
27.51,554.58,0.525462294,0.000729815,5.5708,0.04093366
28.011,555.16,0.522894478,0.000729815,5.5766,0.04037083
28.375,555.62,0.520816732,0.000729815,5.5812,0.042847408
29.24,556.56,0.521670526,0.000729815,5.5906,0.040147885
30.105,557.14,0.521366581,0.000729815,5.5964,0.040946177
30.776,557.92,0.521683126,0.000729815,5.6042,0.038429408
31.641,558.7,0.517414689,0.000729815,5.612,0.041056968
32.507,559.49,0.515321275,0.000729815,5.6199,0.043947284
33.371,560.22,0.512929183,0.000729815,5.6272,0.04622209
34.236,560.96,0.511271009,0.000729815,5.6346,0.047988416
35.101,561.61,0.509146041,0.000729815,5.6411,0.052613117
35.966,562.29,0.507378137,0.000729815,5.6479,0.052612594
36.831,562.89,0.509570718,0.000729815,5.6539,0.057950998
37.8,563.57,nan,0.000729815,5.6607,nan
40.424,565.28,nan,0.000729815,5.6778,nan
